Chave (000082) encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 6
Chave (000025) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 4
Chave (000023) encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 5
Chave (000028) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 6
Chave (000082) encontrada na árvore. Tempo de busca: 0.000000111 segundos. Interações: 6
Chave (000018) encontrada na árvore. Tempo de busca: 0.000000220 segundos. Interações: 6
Chave (000016) encontrada na árvore. Tempo de busca: 0.000000080 segundos. Interações: 7
Chave (000058) encontrada na árvore. Tempo de busca: 0.000000170 segundos. Interações: 6
Chave (000092) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 4
Chave (000088) encontrada na árvore. Tempo de busca: 0.000000070 segundos. Interações: 5
Chave (000054) encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 4
Chave (000072) encontrada na árvore. Tempo de busca: 0.000000050 segundos. Interações: 2
Chave (000012) encontrada na árvore. Tempo de busca: 0.000000071 segundos. Interações: 3
Chave (000041) encontrada na árvore. Tempo de busca: 0.000000101 segundos. Interações: 6
Chave (000059) encontrada na árvore. Tempo de busca: 0.000000090 segundos. Interações: 5
Chave (000925) não encontrada na árvore. Tempo de busca: 0.000000160 segundos. Interações: 6
Chave (000493) não encontrada na árvore. Tempo de busca: 0.000000060 segundos. Interações: 6
Chave (006259) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (003386) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (001812) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (000987) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (006642) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (006521) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (009011) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (005460) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (002483) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
Chave (001262) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (004934) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (003150) não encontrada na árvore. Tempo de busca: 0.000000040 segundos. Interações: 6
Chave (003626) não encontrada na árvore. Tempo de busca: 0.000000030 segundos. Interações: 6
