Chave: [000000347] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002525 segundos. INTERACOES: 346
Chave: [000000041] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000000201 segundos. INTERACOES: 40
Chave: [000000815] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000003136 segundos. INTERACOES: 814
Chave: [000000855] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002966 segundos. INTERACOES: 854
Chave: [000000386] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001423 segundos. INTERACOES: 385
Chave: [000000661] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002615 segundos. INTERACOES: 660
Chave: [000000392] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001613 segundos. INTERACOES: 391
Chave: [000000435] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001703 segundos. INTERACOES: 434
Chave: [000000639] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002334 segundos. INTERACOES: 638
Chave: [000000820] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000003467 segundos. INTERACOES: 819
Chave: [000000959] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000004078 segundos. INTERACOES: 958
Chave: [000000445] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001814 segundos. INTERACOES: 444
Chave: [000000621] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002595 segundos. INTERACOES: 620
Chave: [000000380] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000001372 segundos. INTERACOES: 379
Chave: [000000708] ENCONTRADA na árvore. TEMPO DE BUSCA: 0.000002595 segundos. INTERACOES: 707
Chave: [000003096] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003697 segundos. INTERACOES: 1000
Chave: [000003308] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003486 segundos. INTERACOES: 1000
Chave: [000004407] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003436 segundos. INTERACOES: 1000
Chave: [000002994] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003656 segundos. INTERACOES: 1000
Chave: [000007904] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000004118 segundos. INTERACOES: 1000
Chave: [000009716] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003456 segundos. INTERACOES: 1000
Chave: [000007874] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003416 segundos. INTERACOES: 1000
Chave: [000006648] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003477 segundos. INTERACOES: 1000
Chave: [000006275] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003437 segundos. INTERACOES: 1000
Chave: [000003573] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003556 segundos. INTERACOES: 1000
Chave: [000008797] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003587 segundos. INTERACOES: 1000
Chave: [000009023] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000015359 segundos. INTERACOES: 1000
Chave: [000004544] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000004358 segundos. INTERACOES: 1000
Chave: [000001301] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000004218 segundos. INTERACOES: 1000
Chave: [000006024] NÃO ENCONTRADA na arvore. TEMPO DE BUSCA: 0.000003436 segundos. INTERACOES: 1000
