Chave: [006290] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007604 segundos. INTERACOES: 6290
Chave: [001716] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002094 segundos. INTERACOES: 1716
Chave: [002539] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000002565 segundos. INTERACOES: 2539
Chave: [007118] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007774 segundos. INTERACOES: 7118
Chave: [006229] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007434 segundos. INTERACOES: 6229
Chave: [007228] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000008626 segundos. INTERACOES: 7228
Chave: [009923] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011972 segundos. INTERACOES: 9923
Chave: [008690] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000010470 segundos. INTERACOES: 8690
Chave: [006049] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007234 segundos. INTERACOES: 6049
Chave: [006528] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007855 segundos. INTERACOES: 6528
Chave: [008805] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000010609 segundos. INTERACOES: 8805
Chave: [005023] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000006061 segundos. INTERACOES: 5023
Chave: [003454] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000004218 segundos. INTERACOES: 3454
Chave: [006109] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000007394 segundos. INTERACOES: 6109
Chave: [008621] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000010319 segundos. INTERACOES: 8621
Chave: [023911] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000052748 segundos. INTERACOES: 10000
Chave: [064870] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000015328 segundos. INTERACOES: 10000
Chave: [033271] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012312 segundos. INTERACOES: 10000
Chave: [087216] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012183 segundos. INTERACOES: 10000
Chave: [094165] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012093 segundos. INTERACOES: 10000
Chave: [091816] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012233 segundos. INTERACOES: 10000
Chave: [074566] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012173 segundos. INTERACOES: 10000
Chave: [056609] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012103 segundos. INTERACOES: 10000
Chave: [048988] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000011691 segundos. INTERACOES: 10000
Chave: [020272] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012052 segundos. INTERACOES: 10000
Chave: [017257] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012183 segundos. INTERACOES: 10000
Chave: [039413] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012113 segundos. INTERACOES: 10000
Chave: [026037] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012163 segundos. INTERACOES: 10000
Chave: [036429] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012173 segundos. INTERACOES: 10000
Chave: [046392] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000012042 segundos. INTERACOES: 10000
