Chave: [000491] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000441 segundos. INTERACOES: 466
Chave: [000514] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000621 segundos. INTERACOES: 664
Chave: [000547] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000551 segundos. INTERACOES: 590
Chave: [000105] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000681 segundos. INTERACOES: 740
Chave: [000607] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000831 segundos. INTERACOES: 941
Chave: [000075] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000251 segundos. INTERACOES: 257
Chave: [000440] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000601 segundos. INTERACOES: 674
Chave: [000341] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000070 segundos. INTERACOES: 49
Chave: [000529] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000110 segundos. INTERACOES: 95
Chave: [000189] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000480 segundos. INTERACOES: 535
Chave: [000612] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000561 segundos. INTERACOES: 620
Chave: [000022] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000471 segundos. INTERACOES: 524
Chave: [000826] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000851 segundos. INTERACOES: 971
Chave: [000600] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000181 segundos. INTERACOES: 182
Chave: [000465] ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000490 segundos. INTERACOES: 537
Chave: [047848] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000006182 segundos. INTERACOES: 1000
Chave: [080745] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000001573 segundos. INTERACOES: 1000
Chave: [083654] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000922 segundos. INTERACOES: 1000
Chave: [017730] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
Chave: [071144] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
Chave: [050902] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000911 segundos. INTERACOES: 1000
Chave: [069155] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000902 segundos. INTERACOES: 1000
Chave: [086537] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
Chave: [025086] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
Chave: [073424] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
Chave: [051949] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000901 segundos. INTERACOES: 1000
Chave: [023187] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000902 segundos. INTERACOES: 1000
Chave: [073922] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000901 segundos. INTERACOES: 1000
Chave: [064143] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000902 segundos. INTERACOES: 1000
Chave: [073628] NAO ENCONTRADA na coleção. TEMPO DE BUSCA: 0.000000912 segundos. INTERACOES: 1000
